Tags,Min,Pauses (min),Start Hour,End Hour
Web           ,20,15.0,14 de janeiro de 2026 12:14 (GMT)  ,14 de janeiro de 2026 12:49 (GMT)  
Web           ,15,3.0,14 de janeiro de 2026 12:49 (GMT)  ,14 de janeiro de 2026 13:07 (GMT)  
Web           ,41,,14 de janeiro de 2026 16:09 (GMT)  ,14 de janeiro de 2026 16:50 (GMT)  
Review        ,12,25.0,15 de janeiro de 2026 12:36 (GMT)  ,15 de janeiro de 2026 13:13 (GMT)  
Web           ,25,20.0,15 de janeiro de 2026 13:44 (GMT)  ,15 de janeiro de 2026 14:29 (GMT)  
Web           ,14,,15 de janeiro de 2026 16:01 (GMT)  ,15 de janeiro de 2026 16:15 (GMT)  
Web           ,12,,15 de janeiro de 2026 16:30 (GMT)  ,15 de janeiro de 2026 16:42 (GMT)  
Web           ,33,12.0,16 de janeiro de 2026 12:27 (GMT)  ,16 de janeiro de 2026 13:12 (GMT)  
Review        ,4,1.0,16 de janeiro de 2026 13:20 (GMT)  ,16 de janeiro de 2026 13:25 (GMT)  
Review        ,5,1.0,16 de janeiro de 2026 13:32 (GMT)  ,16 de janeiro de 2026 13:38 (GMT)  
Review        ,3,1.0,16 de janeiro de 2026 13:43 (GMT)  ,16 de janeiro de 2026 13:47 (GMT)  
Review        ,9,15.0,16 de janeiro de 2026 14:00 (GMT)  ,16 de janeiro de 2026 14:24 (GMT)  
Review        ,21,,16 de janeiro de 2026 14:24 (GMT)  ,16 de janeiro de 2026 14:45 (GMT)  
Infrastructure,15,2.0,16 de janeiro de 2026 14:54 (GMT)  ,16 de janeiro de 2026 15:11 (GMT)  
Infrastructure,94,30.0,16 de janeiro de 2026 16:15 (GMT)  ,16 de janeiro de 2026 18:19 (GMT)  
Web           ,15,12.0,19 de janeiro de 2026 12:38 (GMT)  ,19 de janeiro de 2026 13:05 (GMT)  
Review        ,35,2.0,19 de janeiro de 2026 13:18 (GMT)  ,19 de janeiro de 2026 13:55 (GMT)  
Web           ,48,8.0,19 de janeiro de 2026 14:07 (GMT)  ,19 de janeiro de 2026 15:03 (GMT)  
Review        ,3,,20 de janeiro de 2026 11:59 (GMT)  ,20 de janeiro de 2026 12:02 (GMT)  
Review        ,7,,20 de janeiro de 2026 12:11 (GMT)  ,20 de janeiro de 2026 12:18 (GMT)  
Web           ,19,10.0,20 de janeiro de 2026 12:22 (GMT)  ,20 de janeiro de 2026 12:51 (GMT)  
Web           ,7,,20 de janeiro de 2026 12:57 (GMT)  ,20 de janeiro de 2026 13:04 (GMT)  
Web           ,21,2.0,20 de janeiro de 2026 16:04 (GMT)  ,20 de janeiro de 2026 16:27 (GMT)  
Web           ,59,,20 de janeiro de 2026 16:48 (GMT)  ,20 de janeiro de 2026 17:47 (GMT)  
Web           ,48,,21 de janeiro de 2026 12:14 (GMT)  ,21 de janeiro de 2026 13:02 (GMT)  
Web           ,17,8.0,21 de janeiro de 2026 13:29 (GMT)  ,21 de janeiro de 2026 13:54 (GMT)  
Web           ,48,5.0,21 de janeiro de 2026 14:16 (GMT)  ,21 de janeiro de 2026 15:09 (GMT)  
Web           ,29,,22 de janeiro de 2026 11:59 (GMT)  ,22 de janeiro de 2026 12:28 (GMT)  
Web           ,12,3.0,22 de janeiro de 2026 12:47 (GMT)  ,22 de janeiro de 2026 13:02 (GMT)  
Web           ,5,,22 de janeiro de 2026 13:04 (GMT)  ,22 de janeiro de 2026 13:09 (GMT)  
Review        ,9,,22 de janeiro de 2026 13:11 (GMT)  ,22 de janeiro de 2026 13:20 (GMT)  
Review        ,8,2.0,22 de janeiro de 2026 14:18 (GMT)  ,22 de janeiro de 2026 14:28 (GMT)  
Review        ,16,1.0,23 de janeiro de 2026 12:27 (GMT)  ,23 de janeiro de 2026 12:44 (GMT)  
Web           ,53,8.0,23 de janeiro de 2026 12:44 (GMT)  ,23 de janeiro de 2026 13:45 (GMT)  
Web           ,20,6.0,23 de janeiro de 2026 16:31 (GMT)  ,23 de janeiro de 2026 16:57 (GMT)  
Review        ,11,3.0,26 de janeiro de 2026 12:05 (GMT)  ,26 de janeiro de 2026 12:19 (GMT)  
Review        ,2,,26 de janeiro de 2026 13:13 (GMT)  ,26 de janeiro de 2026 13:15 (GMT)  
Review        ,21,,26 de janeiro de 2026 13:25 (GMT)  ,26 de janeiro de 2026 13:46 (GMT)  
Web           ,26,,26 de janeiro de 2026 14:34 (GMT)  ,26 de janeiro de 2026 15:00 (GMT)  
Web           ,34,,26 de janeiro de 2026 16:15 (GMT)  ,26 de janeiro de 2026 16:49 (GMT)  
Web           ,2,,26 de janeiro de 2026 16:53 (GMT)  ,26 de janeiro de 2026 16:55 (GMT)  
Web           ,13,,3 de fevereiro de 2026 16:46 (GMT) ,3 de fevereiro de 2026 16:59 (GMT) 
Web           ,16,,4 de fevereiro de 2026 12:41 (GMT) ,4 de fevereiro de 2026 12:57 (GMT) 
Review        ,14,1.0,9 de fevereiro de 2026 16:15 (GMT) ,9 de fevereiro de 2026 16:30 (GMT) 
Review        ,4,,10 de fevereiro de 2026 14:12 (GMT),10 de fevereiro de 2026 14:16 (GMT)
Review        ,31,,10 de fevereiro de 2026 14:30 (GMT),10 de fevereiro de 2026 15:01 (GMT)
Review        ,30,,19 de fevereiro de 2026 11:50 (GMT),19 de fevereiro de 2026 12:20 (GMT)
Web           ,55,5.0,20 de fevereiro de 2026 16:30 (GMT),20 de fevereiro de 2026 17:30 (GMT)
Data          ,21,,23 de fevereiro de 2026 9:31 (GMT) ,23 de fevereiro de 2026 9:52 (GMT) 
Web           ,40,3.0,23 de fevereiro de 2026 14:23 (GMT),23 de fevereiro de 2026 15:06 (GMT)
Web           ,2,,23 de fevereiro de 2026 16:03 (GMT),23 de fevereiro de 2026 16:05 (GMT)
Web           ,10,,23 de fevereiro de 2026 16:38 (GMT),23 de fevereiro de 2026 16:48 (GMT)
Web           ,17,,23 de fevereiro de 2026 17:03 (GMT),23 de fevereiro de 2026 17:20 (GMT)
Web           ,12,,23 de fevereiro de 2026 17:41 (GMT),23 de fevereiro de 2026 17:53 (GMT)
Infrastructure,65,,23 de fevereiro de 2026 18:00 (GMT),23 de fevereiro de 2026 19:05 (GMT)
Review        ,7,,24 de fevereiro de 2026 9:58 (GMT) ,24 de fevereiro de 2026 10:05 (GMT)
Infrastructure,83,,24 de fevereiro de 2026 15:32 (GMT),24 de fevereiro de 2026 16:55 (GMT)
Review        ,3,,25 de fevereiro de 2026 9:33 (GMT) ,25 de fevereiro de 2026 9:36 (GMT) 
Infrastructure,20,5.0,25 de fevereiro de 2026 12:31 (GMT),25 de fevereiro de 2026 12:56 (GMT)
Infrastructure,6,2.0,25 de fevereiro de 2026 12:56 (GMT),25 de fevereiro de 2026 13:04 (GMT)
Infrastructure,12,3.0,25 de fevereiro de 2026 13:45 (GMT),25 de fevereiro de 2026 14:00 (GMT)
Infrastructure,53,,25 de fevereiro de 2026 14:15 (GMT),25 de fevereiro de 2026 15:08 (GMT)
Infrastructure,74,20.0,25 de fevereiro de 2026 16:00 (GMT),25 de fevereiro de 2026 17:34 (GMT)
Data          ,50,3.0,25 de fevereiro de 2026 18:08 (GMT),25 de fevereiro de 2026 19:01 (GMT)
Review        ,2,,26 de fevereiro de 2026 11:09 (GMT),26 de fevereiro de 2026 11:11 (GMT)
Review        ,9,,26 de fevereiro de 2026 16:35 (GMT),26 de fevereiro de 2026 16:44 (GMT)
Infrastructure,24,,26 de fevereiro de 2026 16:48 (GMT),26 de fevereiro de 2026 17:12 (GMT)
Organization  ,13,,26 de fevereiro de 2026 17:36 (GMT),26 de fevereiro de 2026 17:49 (GMT)
Organization  ,22,,26 de fevereiro de 2026 17:57 (GMT),26 de fevereiro de 2026 18:19 (GMT)
Data          ,22,,26 de fevereiro de 2026 18:32 (GMT),26 de fevereiro de 2026 18:54 (GMT)
Data          ,26,5.0,26 de fevereiro de 2026 19:05 (GMT),26 de fevereiro de 2026 19:36 (GMT)
Data          ,25,,28 de fevereiro de 2026 18:41 (GMT),28 de fevereiro de 2026 19:06 (GMT)
Review        ,5,,1 de março de 2026 13:24 (GMT)     ,1 de março de 2026 13:29 (GMT)     
Data          ,63,,1 de março de 2026 13:29 (GMT)     ,1 de março de 2026 14:32 (GMT)     
Review        ,4,,2 de março de 2026 21:12 (GMT)     ,2 de março de 2026 21:16 (GMT)     
Review        ,5,,3 de março de 2026 9:40 (GMT)      ,3 de março de 2026 9:45 (GMT)      
Review        ,6,,3 de março de 2026 15:44 (GMT)     ,3 de março de 2026 15:50 (GMT)     
Data          ,6,,3 de março de 2026 15:50 (GMT)     ,3 de março de 2026 15:56 (GMT)     
Data          ,20,,4 de março de 2026 14:40 (GMT)     ,4 de março de 2026 15:00 (GMT)     
Review        ,6,4.0,4 de março de 2026 15:26 (GMT)     ,4 de março de 2026 15:36 (GMT)     
Review        ,14,,5 de março de 2026 11:38 (GMT)     ,5 de março de 2026 11:52 (GMT)     
Review        ,5,,5 de março de 2026 13:16 (GMT)     ,5 de março de 2026 13:21 (GMT)     
Infrastructure,30,,5 de março de 2026 13:22 (GMT)     ,5 de março de 2026 13:52 (GMT)     
Infrastructure,10,,5 de março de 2026 13:55 (GMT)     ,5 de março de 2026 14:05 (GMT)     
Infrastructure,19,,5 de março de 2026 14:07 (GMT)     ,5 de março de 2026 14:26 (GMT)     
Infrastructure,15,,5 de março de 2026 14:48 (GMT)     ,5 de março de 2026 15:03 (GMT)     
Data          ,34,,5 de março de 2026 15:28 (GMT)     ,5 de março de 2026 16:02 (GMT)     
Review        ,4,,6 de março de 2026 17:35 (GMT)     ,6 de março de 2026 17:39 (GMT)     
Data          ,18,2.0,6 de março de 2026 17:40 (GMT)     ,6 de março de 2026 18:00 (GMT)     
Review        ,9,,7 de março de 2026 14:18 (GMT)     ,7 de março de 2026 14:27 (GMT)     
Organization  ,16,3.0,8 de março de 2026 8:34 (GMT)      ,8 de março de 2026 8:53 (GMT)      
Organization  ,14,,8 de março de 2026 9:20 (GMT)      ,8 de março de 2026 9:34 (GMT)      
Data          ,18,3.0,8 de março de 2026 10:24 (GMT)     ,8 de março de 2026 10:45 (GMT)     
Organization  ,5,,8 de março de 2026 10:42 (GMT)     ,8 de março de 2026 10:47 (GMT)     
Data          ,71,12.0,8 de março de 2026 18:57 (GMT)     ,8 de março de 2026 20:20 (GMT)     
Review        ,5,,9 de março de 2026 9:36 (GMT)      ,9 de março de 2026 9:41 (GMT)      
Review        ,4,1.0,9 de março de 2026 13:56 (GMT)     ,9 de março de 2026 14:01 (GMT)     
Review        ,2,,9 de março de 2026 14:02 (GMT)     ,9 de março de 2026 14:04 (GMT)     
Infrastructure,57,,9 de março de 2026 14:10 (GMT)     ,9 de março de 2026 15:07 (GMT)     
Data          ,59,4.0,9 de março de 2026 17:53 (GMT)     ,9 de março de 2026 18:56 (GMT)     
Review        ,13,,10 de março de 2026 12:55 (GMT)    ,10 de março de 2026 13:08 (GMT)    
Infrastructure,36,,10 de março de 2026 13:10 (GMT)    ,10 de março de 2026 13:46 (GMT)    
Infrastructure,32,,10 de março de 2026 14:03 (GMT)    ,10 de março de 2026 14:35 (GMT)    
Data          ,12,3.0,10 de março de 2026 18:42 (GMT)    ,10 de março de 2026 18:57 (GMT)    
Data          ,45,3.0,10 de março de 2026 20:09 (GMT)    ,10 de março de 2026 20:57 (GMT)    
Review        ,9,3.0,11 de março de 2026 9:18 (GMT)     ,11 de março de 2026 9:30 (GMT)     
Review        ,3,,11 de março de 2026 15:41 (GMT)    ,11 de março de 2026 15:44 (GMT)    
Data          ,9,3.0,11 de março de 2026 16:08 (GMT)    ,11 de março de 2026 16:20 (GMT)    
Data          ,46,7.0,11 de março de 2026 17:56 (GMT)    ,11 de março de 2026 18:49 (GMT)    
Data          ,6,,11 de março de 2026 18:58 (GMT)    ,11 de março de 2026 19:04 (GMT)    
Review        ,5,,12 de março de 2026 11:01 (GMT)    ,12 de março de 2026 11:06 (GMT)    
Data          ,28,3.0,12 de março de 2026 11:06 (GMT)    ,12 de março de 2026 11:37 (GMT)    
Review        ,5,1.0,13 de março de 2026 9:21 (GMT)     ,13 de março de 2026 9:27 (GMT)     
Infrastructure,52,,13 de março de 2026 12:18 (GMT)    ,13 de março de 2026 13:10 (GMT)    
Infrastructure,94,6.0,13 de março de 2026 13:25 (GMT)    ,13 de março de 2026 15:05 (GMT)    
Infrastructure,12,,13 de março de 2026 16:49 (GMT)    ,13 de março de 2026 17:01 (GMT)    
Data          ,63,10.0,13 de março de 2026 17:19 (GMT)    ,13 de março de 2026 18:32 (GMT)    
Data          ,5,,13 de março de 2026 18:41 (GMT)    ,13 de março de 2026 18:46 (GMT)    
Data          ,59,10.0,14 de março de 2026 8:40 (GMT)     ,14 de março de 2026 9:49 (GMT)     
Data          ,19,4.0,14 de março de 2026 10:17 (GMT)    ,14 de março de 2026 10:40 (GMT)    
Data          ,10,,14 de março de 2026 10:52 (GMT)    ,14 de março de 2026 11:02 (GMT)    
Review        ,6,,15 de março de 2026 8:36 (GMT)     ,15 de março de 2026 8:42 (GMT)     
Data          ,55,,15 de março de 2026 12:21 (GMT)    ,15 de março de 2026 13:16 (GMT)    
Data          ,56,,15 de março de 2026 13:45 (GMT)    ,15 de março de 2026 14:41 (GMT)    
Data          ,19,,15 de março de 2026 16:39 (GMT)    ,15 de março de 2026 16:58 (GMT)    
Data          ,39,,15 de março de 2026 18:20 (GMT)    ,15 de março de 2026 18:59 (GMT)    
Data          ,16,,15 de março de 2026 20:11 (GMT)    ,15 de março de 2026 20:27 (GMT)    
Data          ,59,,15 de março de 2026 21:57 (GMT)    ,15 de março de 2026 22:56 (GMT)    
Review        ,9,,16 de março de 2026 9:09 (GMT)     ,16 de março de 2026 9:18 (GMT)     
Data          ,26,,16 de março de 2026 9:27 (GMT)     ,16 de março de 2026 9:53 (GMT)     
Data          ,4,,16 de março de 2026 9:53 (GMT)     ,16 de março de 2026 9:57 (GMT)     
Data          ,2,,16 de março de 2026 10:00 (GMT)    ,16 de março de 2026 10:02 (GMT)    
Data          ,47,,16 de março de 2026 10:30 (GMT)    ,16 de março de 2026 11:17 (GMT)    
Review        ,21,,16 de março de 2026 12:42 (GMT)    ,16 de março de 2026 13:03 (GMT)    
Infrastructure,19,10.0,16 de março de 2026 13:17 (GMT)    ,16 de março de 2026 13:46 (GMT)    
Infrastructure,12,5.0,16 de março de 2026 13:48 (GMT)    ,16 de março de 2026 14:05 (GMT)    
Infrastructure,26,,16 de março de 2026 14:41 (GMT)    ,16 de março de 2026 15:07 (GMT)    
Data          ,60,,16 de março de 2026 17:12 (GMT)    ,16 de março de 2026 18:12 (GMT)    
Data          ,58,5.0,16 de março de 2026 18:31 (GMT)    ,16 de março de 2026 19:34 (GMT)    
Data          ,20,,17 de março de 2026 9:15 (GMT)     ,17 de março de 2026 9:35 (GMT)     
Review        ,2,,17 de março de 2026 10:41 (GMT)    ,17 de março de 2026 10:43 (GMT)    
Review        ,6,,17 de março de 2026 10:46 (GMT)    ,17 de março de 2026 10:52 (GMT)    
Data          ,19,,17 de março de 2026 10:52 (GMT)    ,17 de março de 2026 11:11 (GMT)    
Data          ,24,20.0,17 de março de 2026 11:52 (GMT)    ,17 de março de 2026 12:36 (GMT)    
Infrastructure,5,,17 de março de 2026 13:00 (GMT)    ,17 de março de 2026 13:05 (GMT)    
Infrastructure,79,,17 de março de 2026 13:11 (GMT)    ,17 de março de 2026 14:30 (GMT)    
Data          ,7,,17 de março de 2026 16:43 (GMT)    ,17 de março de 2026 16:50 (GMT)    
Data          ,82,,17 de março de 2026 16:58 (GMT)    ,17 de março de 2026 18:20 (GMT)    
Data          ,69,20.0,17 de março de 2026 20:24 (GMT)    ,17 de março de 2026 21:53 (GMT)    
Data          ,10,,18 de março de 2026 11:00 (GMT)    ,18 de março de 2026 11:10 (GMT)    
Review        ,10,4.0,18 de março de 2026 12:18 (GMT)    ,18 de março de 2026 12:32 (GMT)    
Data          ,27,20.0,18 de março de 2026 13:56 (GMT)    ,18 de março de 2026 14:43 (GMT)    
Data          ,18,,18 de março de 2026 14:47 (GMT)    ,18 de março de 2026 15:05 (GMT)    
Data          ,62,,18 de março de 2026 16:13 (GMT)    ,18 de março de 2026 17:15 (GMT)    
Data          ,21,,19 de março de 2026 10:22 (GMT)    ,19 de março de 2026 10:43 (GMT)    
Review        ,3,,19 de março de 2026 16:53 (GMT)    ,19 de março de 2026 16:56 (GMT)    
Data          ,101,,19 de março de 2026 17:23 (GMT)    ,19 de março de 2026 19:04 (GMT)    
Data          ,40,,20 de março de 2026 10:30 (GMT)    ,20 de março de 2026 11:10 (GMT)    
Data          ,13,,20 de março de 2026 12:20 (GMT)    ,20 de março de 2026 12:33 (GMT)    
Review        ,2,,20 de março de 2026 13:32 (GMT)    ,20 de março de 2026 13:34 (GMT)    
Data          ,46,,20 de março de 2026 14:21 (GMT)    ,20 de março de 2026 15:07 (GMT)    
Data          ,35,,20 de março de 2026 15:45 (GMT)    ,20 de março de 2026 16:20 (GMT)    
Data          ,58,,20 de março de 2026 16:42 (GMT)    ,20 de março de 2026 17:40 (GMT)    
Data          ,63,,21 de março de 2026 8:32 (GMT)     ,21 de março de 2026 9:35 (GMT)     
Data          ,10,,21 de março de 2026 12:04 (GMT)    ,21 de março de 2026 12:14 (GMT)    
Data          ,27,,21 de março de 2026 13:58 (GMT)    ,21 de março de 2026 14:25 (GMT)    
Review        ,4,,22 de março de 2026 13:17 (GMT)    ,22 de março de 2026 13:21 (GMT)    
Data          ,25,15.0,22 de março de 2026 13:46 (GMT)    ,22 de março de 2026 14:26 (GMT)    
Review        ,10,,22 de março de 2026 22:49 (GMT)    ,22 de março de 2026 22:59 (GMT)    
Review        ,2,,23 de março de 2026 8:46 (GMT)     ,23 de março de 2026 8:48 (GMT)     
Data          ,49,,23 de março de 2026 13:11 (GMT)    ,23 de março de 2026 14:00 (GMT)    
Review        ,10,,24 de março de 2026 9:20 (GMT)     ,24 de março de 2026 9:30 (GMT)     
Data          ,21,,24 de março de 2026 13:44 (GMT)    ,24 de março de 2026 14:05 (GMT)    
Data          ,39,10.0,26 de março de 2026 9:25 (GMT)     ,26 de março de 2026 10:14 (GMT)    
Data          ,46,,26 de março de 2026 17:55 (GMT)    ,26 de março de 2026 18:41 (GMT)    
Review        ,5,,27 de março de 2026 12:38 (GMT)    ,27 de março de 2026 12:43 (GMT)    
Review        ,13,,27 de março de 2026 12:48 (GMT)    ,27 de março de 2026 13:01 (GMT)    
Data          ,29,5.0,27 de março de 2026 18:12 (GMT)    ,27 de março de 2026 18:46 (GMT)    
Data          ,42,,27 de março de 2026 19:00 (GMT)    ,27 de março de 2026 19:42 (GMT)    
Data          ,6,,27 de março de 2026 20:57 (GMT)    ,27 de março de 2026 21:03 (GMT)    
Review        ,4,,29 de março de 2026 14:35 (GMT)    ,29 de março de 2026 14:39 (GMT)    
