Tags          , Pauses (min), Start Hour                         , End Hour                           , Min, Hour            , Initialize, Stop, Propriedade
Review        ,            5, 13 de janeiro de 2026 16:01 (GMT)  , 13 de janeiro de 2026 16:42 (GMT)  ,  36, "0,6"           ,           ,     , 
Web           ,             , 13 de janeiro de 2026 16:47 (GMT)  , 13 de janeiro de 2026 17:02 (GMT)  ,  15, "0,25"          ,           ,     , 
Review        ,             , 14 de janeiro de 2026 12:03 (GMT)  , 14 de janeiro de 2026 12:14 (GMT)  ,  11, "0,183333333333",           ,     , 
Web           ,           15, 14 de janeiro de 2026 12:14 (GMT)  , 14 de janeiro de 2026 12:49 (GMT)  ,  20, "0,333333333333",           ,     , 
Web           ,            3, 14 de janeiro de 2026 12:49 (GMT)  , 14 de janeiro de 2026 13:07 (GMT)  ,  15, "0,25"          ,           ,     , 
Web           ,             , 14 de janeiro de 2026 16:09 (GMT)  , 14 de janeiro de 2026 16:50 (GMT)  ,  41, "0,683333333333",           ,     , 
Review        ,           25, 15 de janeiro de 2026 12:36 (GMT)  , 15 de janeiro de 2026 13:13 (GMT)  ,  12, "0,2"           ,           ,     , 
Web           ,           20, 15 de janeiro de 2026 13:44 (GMT)  , 15 de janeiro de 2026 14:29 (GMT)  ,  25, "0,416666666667",           ,     , 
Web           ,             , 15 de janeiro de 2026 16:01 (GMT)  , 15 de janeiro de 2026 16:15 (GMT)  ,  14, "0,233333333333",           ,     , 
Web           ,             , 15 de janeiro de 2026 16:30 (GMT)  , 15 de janeiro de 2026 16:42 (GMT)  ,  12, "0,2"           ,           ,     , 
Web           ,           12, 16 de janeiro de 2026 12:27 (GMT)  , 16 de janeiro de 2026 13:12 (GMT)  ,  33, "0,55"          ,           ,     , 
Review        ,            1, 16 de janeiro de 2026 13:20 (GMT)  , 16 de janeiro de 2026 13:25 (GMT)  ,   4, "0,066666666667",           ,     , 
Review        ,            1, 16 de janeiro de 2026 13:32 (GMT)  , 16 de janeiro de 2026 13:38 (GMT)  ,   5, "0,083333333333",           ,     , 
Review        ,            1, 16 de janeiro de 2026 13:43 (GMT)  , 16 de janeiro de 2026 13:47 (GMT)  ,   3, "0,05"          ,           ,     , 
Review        ,           15, 16 de janeiro de 2026 14:00 (GMT)  , 16 de janeiro de 2026 14:24 (GMT)  ,   9, "0,15"          ,           ,     , 
Review        ,             , 16 de janeiro de 2026 14:24 (GMT)  , 16 de janeiro de 2026 14:45 (GMT)  ,  21, "0,35"          ,           ,     , 
Infrastructure,            2, 16 de janeiro de 2026 14:54 (GMT)  , 16 de janeiro de 2026 15:11 (GMT)  ,  15, "0,25"          ,           ,     , 
Infrastructure,           30, 16 de janeiro de 2026 16:15 (GMT)  , 16 de janeiro de 2026 18:19 (GMT)  ,  94, "1,566666666667",           ,     , 
Web           ,           12, 19 de janeiro de 2026 12:38 (GMT)  , 19 de janeiro de 2026 13:05 (GMT)  ,  15, "0,25"          ,           ,     , 
Review        ,            2, 19 de janeiro de 2026 13:18 (GMT)  , 19 de janeiro de 2026 13:55 (GMT)  ,  35, "0,583333333333",           ,     , 
Web           ,            8, 19 de janeiro de 2026 14:07 (GMT)  , 19 de janeiro de 2026 15:03 (GMT)  ,  48, "0,8"           ,           ,     , 
Review        ,             , 20 de janeiro de 2026 11:59 (GMT)  , 20 de janeiro de 2026 12:02 (GMT)  ,   3, "0,05"          ,           ,     , 
Review        ,             , 20 de janeiro de 2026 12:11 (GMT)  , 20 de janeiro de 2026 12:18 (GMT)  ,   7, "0,116666666667",           ,     , 
Web           ,           10, 20 de janeiro de 2026 12:22 (GMT)  , 20 de janeiro de 2026 12:51 (GMT)  ,  19, "0,316666666667",           ,     , 
Web           ,             , 20 de janeiro de 2026 12:57 (GMT)  , 20 de janeiro de 2026 13:04 (GMT)  ,   7, "0,116666666667",           ,     , 
Web           ,            2, 20 de janeiro de 2026 16:04 (GMT)  , 20 de janeiro de 2026 16:27 (GMT)  ,  21, "0,35"          ,           ,     , 
Web           ,             , 20 de janeiro de 2026 16:48 (GMT)  , 20 de janeiro de 2026 17:47 (GMT)  ,  59, "0,983333333333",           ,     , 
Web           ,             , 21 de janeiro de 2026 12:14 (GMT)  , 21 de janeiro de 2026 13:02 (GMT)  ,  48, "0,8"           ,           ,     , 
Web           ,            8, 21 de janeiro de 2026 13:29 (GMT)  , 21 de janeiro de 2026 13:54 (GMT)  ,  17, "0,283333333333",           ,     , 
Web           ,            5, 21 de janeiro de 2026 14:16 (GMT)  , 21 de janeiro de 2026 15:09 (GMT)  ,  48, "0,8"           ,           ,     , 
Web           ,             , 22 de janeiro de 2026 11:59 (GMT)  , 22 de janeiro de 2026 12:28 (GMT)  ,  29, "0,483333333333",           ,     , 
Web           ,            3, 22 de janeiro de 2026 12:47 (GMT)  , 22 de janeiro de 2026 13:02 (GMT)  ,  12, "0,2"           ,           ,     , 
Web           ,             , 22 de janeiro de 2026 13:04 (GMT)  , 22 de janeiro de 2026 13:09 (GMT)  ,   5, "0,083333333333",           ,     , 
Review        ,             , 22 de janeiro de 2026 13:11 (GMT)  , 22 de janeiro de 2026 13:20 (GMT)  ,   9, "0,15"          ,           ,     , 
Review        ,            2, 22 de janeiro de 2026 14:18 (GMT)  , 22 de janeiro de 2026 14:28 (GMT)  ,   8, "0,133333333333",           ,     , 
Review        ,            1, 23 de janeiro de 2026 12:27 (GMT)  , 23 de janeiro de 2026 12:44 (GMT)  ,  16, "0,266666666667",           ,     , 
Web           ,            8, 23 de janeiro de 2026 12:44 (GMT)  , 23 de janeiro de 2026 13:45 (GMT)  ,  53, "0,883333333333",           ,     , 
Web           ,            6, 23 de janeiro de 2026 16:31 (GMT)  , 23 de janeiro de 2026 16:57 (GMT)  ,  20, "0,333333333333",           ,     , 
Review        ,            3, 26 de janeiro de 2026 12:05 (GMT)  , 26 de janeiro de 2026 12:19 (GMT)  ,  11, "0,183333333333",           ,     , 
Review        ,             , 26 de janeiro de 2026 13:13 (GMT)  , 26 de janeiro de 2026 13:15 (GMT)  ,   2, "0,033333333333",           ,     , 
Review        ,             , 26 de janeiro de 2026 13:25 (GMT)  , 26 de janeiro de 2026 13:46 (GMT)  ,  21, "0,35"          ,           ,     , 
Web           ,             , 26 de janeiro de 2026 14:34 (GMT)  , 26 de janeiro de 2026 15:00 (GMT)  ,  26, "0,433333333333",           ,     , 
Web           ,             , 26 de janeiro de 2026 16:15 (GMT)  , 26 de janeiro de 2026 16:49 (GMT)  ,  34, "0,566666666667",           ,     , 
Web           ,             , 26 de janeiro de 2026 16:53 (GMT)  , 26 de janeiro de 2026 16:55 (GMT)  ,   2, "0,033333333333",           ,     , 
Web           ,             , 3 de fevereiro de 2026 16:46 (GMT) , 3 de fevereiro de 2026 16:59 (GMT) ,  13, "0,216666666667",           ,     , 
Web           ,             , 4 de fevereiro de 2026 12:41 (GMT) , 4 de fevereiro de 2026 12:57 (GMT) ,  16, "0,266666666667",           ,     , 
Review        ,            1, 9 de fevereiro de 2026 16:15 (GMT) , 9 de fevereiro de 2026 16:30 (GMT) ,  14, "0,233333333333",           ,     , 
Review        ,             , 10 de fevereiro de 2026 14:12 (GMT), 10 de fevereiro de 2026 14:16 (GMT),   4, "0,066666666667",           ,     , 
Review        ,             , 10 de fevereiro de 2026 14:30 (GMT), 10 de fevereiro de 2026 15:01 (GMT),  31, "0,516666666667",           ,     , 
Review        ,             , 19 de fevereiro de 2026 11:50 (GMT), 19 de fevereiro de 2026 12:20 (GMT),  30, "0,5"           ,           ,     , 
Web           ,            5, 20 de fevereiro de 2026 16:30 (GMT), 20 de fevereiro de 2026 17:30 (GMT),  55, "0,916666666667",           ,     , 
Data          ,             , 23 de fevereiro de 2026 9:31 (GMT) , 23 de fevereiro de 2026 9:52 (GMT) ,  21, "0,35"          ,           ,     , 
Web           ,            3, 23 de fevereiro de 2026 14:23 (GMT), 23 de fevereiro de 2026 15:06 (GMT),  40, "0,666666666667",           ,     , 
Web           ,             , 23 de fevereiro de 2026 16:03 (GMT), 23 de fevereiro de 2026 16:05 (GMT),   2, "0,033333333333",           ,     , 
Web           ,             , 23 de fevereiro de 2026 16:38 (GMT), 23 de fevereiro de 2026 16:48 (GMT),  10, "0,166666666667",           ,     , 
Web           ,             , 23 de fevereiro de 2026 17:03 (GMT), 23 de fevereiro de 2026 17:20 (GMT),  17, "0,283333333333",           ,     , 
Web           ,             , 23 de fevereiro de 2026 17:41 (GMT), 23 de fevereiro de 2026 17:53 (GMT),  12, "0,2"           ,           ,     , 
Infrastructure,             , 23 de fevereiro de 2026 18:00 (GMT), 23 de fevereiro de 2026 19:05 (GMT),  65, "1,083333333333",           ,     , 
Review        ,             , 24 de fevereiro de 2026 9:58 (GMT) , 24 de fevereiro de 2026 10:05 (GMT),   7, "0,116666666667",           ,     , 
Infrastructure,             , 24 de fevereiro de 2026 15:32 (GMT), 24 de fevereiro de 2026 16:55 (GMT),  83, "1,383333333333",           ,     , 
Review        ,             , 25 de fevereiro de 2026 9:33 (GMT) , 25 de fevereiro de 2026 9:36 (GMT) ,   3, "0,05"          ,           ,     , 
Infrastructure,            5, 25 de fevereiro de 2026 12:31 (GMT), 25 de fevereiro de 2026 12:56 (GMT),  20, "0,333333333333",           ,     , 
Infrastructure,            2, 25 de fevereiro de 2026 12:56 (GMT), 25 de fevereiro de 2026 13:04 (GMT),   6, "0,1"           ,           ,     , 
Infrastructure,            3, 25 de fevereiro de 2026 13:45 (GMT), 25 de fevereiro de 2026 14:00 (GMT),  12, "0,2"           ,           ,     , 
Infrastructure,             , 25 de fevereiro de 2026 14:15 (GMT), 25 de fevereiro de 2026 15:08 (GMT),  53, "0,883333333333",           ,     , 
Infrastructure,           20, 25 de fevereiro de 2026 16:00 (GMT), 25 de fevereiro de 2026 17:34 (GMT),  74, "1,233333333333",           ,     , 
Data          ,            3, 25 de fevereiro de 2026 18:08 (GMT), 25 de fevereiro de 2026 19:01 (GMT),  50, "0,833333333333",           ,     , 
Review        ,             , 26 de fevereiro de 2026 11:09 (GMT), 26 de fevereiro de 2026 11:11 (GMT),   2, "0,033333333333",           ,     , 
Review        ,             , 26 de fevereiro de 2026 16:35 (GMT), 26 de fevereiro de 2026 16:44 (GMT),   9, "0,15"          ,           ,     , 
Infrastructure,             , 26 de fevereiro de 2026 16:48 (GMT), 26 de fevereiro de 2026 17:12 (GMT),  24, "0,4"           ,           ,     , 
Organization  ,             , 26 de fevereiro de 2026 17:36 (GMT), 26 de fevereiro de 2026 17:49 (GMT),  13, "0,216666666667",           ,     , 
Organization  ,             , 26 de fevereiro de 2026 17:57 (GMT), 26 de fevereiro de 2026 18:19 (GMT),  22, "0,366666666667",           ,     , 
Data          ,             , 26 de fevereiro de 2026 18:32 (GMT), 26 de fevereiro de 2026 18:54 (GMT),  22, "0,366666666667",           ,     , 
Data          ,            5, 26 de fevereiro de 2026 19:05 (GMT), 26 de fevereiro de 2026 19:36 (GMT),  26, "0,433333333333",           ,     , 
Data          ,             , 28 de fevereiro de 2026 18:41 (GMT), 28 de fevereiro de 2026 19:06 (GMT),  25, "0,416666666667",           ,     , 
Review        ,             , 1 de março de 2026 13:24 (GMT)     , 1 de março de 2026 13:29 (GMT)     ,   5, "0,083333333333",           ,     , 
Data          ,             , 1 de março de 2026 13:29 (GMT)     , 1 de março de 2026 14:32 (GMT)     ,  63, "1,05"          ,           ,     , 
Review        ,             , 2 de março de 2026 21:12 (GMT)     , 2 de março de 2026 21:16 (GMT)     ,   4, "0,066666666667",           ,     , 
Review        ,             , 3 de março de 2026 9:40 (GMT)      , 3 de março de 2026 9:45 (GMT)      ,   5, "0,083333333333",           ,     , 
Review        ,             , 3 de março de 2026 15:44 (GMT)     , 3 de março de 2026 15:50 (GMT)     ,   6, "0,1"           ,           ,     , 
Data          ,             , 3 de março de 2026 15:50 (GMT)     , 3 de março de 2026 15:56 (GMT)     ,   6, "0,1"           ,           ,     , 
Data          ,             , 4 de março de 2026 14:40 (GMT)     , 4 de março de 2026 15:00 (GMT)     ,  20, "0,333333333333",           ,     , 
Review        ,            4, 4 de março de 2026 15:26 (GMT)     , 4 de março de 2026 15:36 (GMT)     ,   6, "0,1"           ,           ,     , 
Review        ,             , 5 de março de 2026 11:38 (GMT)     , 5 de março de 2026 11:52 (GMT)     ,  14, "0,233333333333",           ,     , 
Review        ,             , 5 de março de 2026 13:16 (GMT)     , 5 de março de 2026 13:21 (GMT)     ,   5, "0,083333333333",           ,     , 
Infrastructure,             , 5 de março de 2026 13:22 (GMT)     , 5 de março de 2026 13:52 (GMT)     ,  30, "0,5"           ,           ,     , 
Infrastructure,             , 5 de março de 2026 13:55 (GMT)     , 5 de março de 2026 14:05 (GMT)     ,  10, "0,166666666667",           ,     , 
Infrastructure,             , 5 de março de 2026 14:07 (GMT)     , 5 de março de 2026 14:26 (GMT)     ,  19, "0,316666666667",           ,     , 
Infrastructure,             , 5 de março de 2026 14:48 (GMT)     , 5 de março de 2026 15:03 (GMT)     ,  15, "0,25"          ,           ,     , 
Data          ,             , 5 de março de 2026 15:28 (GMT)     , 5 de março de 2026 16:02 (GMT)     ,  34, "0,566666666667",           ,     , 
Review        ,             , 6 de março de 2026 17:35 (GMT)     , 6 de março de 2026 17:39 (GMT)     ,   4, "0,066666666667",           ,     , 
Data          ,            2, 6 de março de 2026 17:40 (GMT)     , 6 de março de 2026 18:00 (GMT)     ,  18, "0,3"           ,           ,     , 
Review        ,             , 7 de março de 2026 14:18 (GMT)     , 7 de março de 2026 14:27 (GMT)     ,   9, "0,15"          ,           ,     , 
Organization  ,            3, 8 de março de 2026 8:34 (GMT)      , 8 de março de 2026 8:53 (GMT)      ,  16, "0,266666666667",           ,     , 
Organization  ,             , 8 de março de 2026 9:20 (GMT)      , 8 de março de 2026 9:34 (GMT)      ,  14, "0,233333333333",           ,     , 
Data          ,            3, 8 de março de 2026 10:24 (GMT)     , 8 de março de 2026 10:45 (GMT)     ,  18, "0,3"           ,           ,     , 
Organization  ,             , 8 de março de 2026 10:42 (GMT)     , 8 de março de 2026 10:47 (GMT)     ,   5, "0,083333333333",           ,     , 
Data          ,           12, 8 de março de 2026 18:57 (GMT)     , 8 de março de 2026 20:20 (GMT)     ,  71, "1,183333333333",           ,     , 
Review        ,             , 9 de março de 2026 9:36 (GMT)      , 9 de março de 2026 9:41 (GMT)      ,   5, "0,083333333333",           ,     , 
Review        ,            1, 9 de março de 2026 13:56 (GMT)     , 9 de março de 2026 14:01 (GMT)     ,   4, "0,066666666667",           ,     , 
Review        ,             , 9 de março de 2026 14:02 (GMT)     , 9 de março de 2026 14:04 (GMT)     ,   2, "0,033333333333",           ,     , 
Infrastructure,             , 9 de março de 2026 14:10 (GMT)     , 9 de março de 2026 15:07 (GMT)     ,  57, "0,95"          ,           ,     , 
Data          ,            4, 9 de março de 2026 17:53 (GMT)     , 9 de março de 2026 18:56 (GMT)     ,  59, "0,983333333333",           ,     , 
Review        ,             , 10 de março de 2026 12:55 (GMT)    , 10 de março de 2026 13:08 (GMT)    ,  13, "0,216666666667",           ,     , 
Infrastructure,             , 10 de março de 2026 13:10 (GMT)    , 10 de março de 2026 13:46 (GMT)    ,  36, "0,6"           ,           ,     , 
Infrastructure,             , 10 de março de 2026 14:03 (GMT)    , 10 de março de 2026 14:35 (GMT)    ,  32, "0,533333333333",           ,     , 
Data          ,            3, 10 de março de 2026 18:42 (GMT)    , 10 de março de 2026 18:57 (GMT)    ,  12, "0,2"           ,           ,     , 
Data          ,            3, 10 de março de 2026 20:09 (GMT)    , 10 de março de 2026 20:57 (GMT)    ,  45, "0,75"          ,           ,     , 
Review        ,            3, 11 de março de 2026 9:18 (GMT)     , 11 de março de 2026 9:30 (GMT)     ,   9, "0,15"          ,           ,     , 
Review        ,             , 11 de março de 2026 15:41 (GMT)    , 11 de março de 2026 15:44 (GMT)    ,   3, "0,05"          ,           ,     , 
Data          ,            3, 11 de março de 2026 16:08 (GMT)    , 11 de março de 2026 16:20 (GMT)    ,   9, "0,15"          ,           ,     , 
Data          ,            7, 11 de março de 2026 17:56 (GMT)    , 11 de março de 2026 18:49 (GMT)    ,  46, "0,766666666667",           ,     , 
Data          ,             , 11 de março de 2026 18:58 (GMT)    , 11 de março de 2026 19:04 (GMT)    ,   6, "0,1"           ,           ,     , 
Review        ,             , 12 de março de 2026 11:01 (GMT)    , 12 de março de 2026 11:06 (GMT)    ,   5, "0,083333333333",           ,     , 
Data          ,            3, 12 de março de 2026 11:06 (GMT)    , 12 de março de 2026 11:37 (GMT)    ,  28, "0,466666666667",           ,     , 
Review        ,            1, 13 de março de 2026 9:21 (GMT)     , 13 de março de 2026 9:27 (GMT)     ,   5, "0,083333333333",           ,     , 
Infrastructure,             , 13 de março de 2026 12:18 (GMT)    , 13 de março de 2026 13:10 (GMT)    ,  52, "0,866666666667",           ,     , 
Infrastructure,            6, 13 de março de 2026 13:25 (GMT)    , 13 de março de 2026 15:05 (GMT)    ,  94, "1,566666666667",           ,     , 
Infrastructure,             , 13 de março de 2026 16:49 (GMT)    , 13 de março de 2026 17:01 (GMT)    ,  12, "0,2"           ,           ,     , 
Data          ,           10, 13 de março de 2026 17:19 (GMT)    , 13 de março de 2026 18:32 (GMT)    ,  63, "1,05"          ,           ,     , 
Data          ,             , 13 de março de 2026 18:41 (GMT)    , 13 de março de 2026 18:46 (GMT)    ,   5, "0,083333333333",           ,     , 
Data          ,           10, 14 de março de 2026 8:40 (GMT)     , 14 de março de 2026 9:49 (GMT)     ,  59, "0,983333333333",           ,     , 
Data          ,            4, 14 de março de 2026 10:17 (GMT)    , 14 de março de 2026 10:40 (GMT)    ,  19, "0,316666666667",           ,     , 
Data          ,             , 14 de março de 2026 10:52 (GMT)    , 14 de março de 2026 11:02 (GMT)    ,  10, "0,166666666667",           ,     , 
Review        ,             , 15 de março de 2026 8:36 (GMT)     , 15 de março de 2026 8:42 (GMT)     ,   6, "0,1"           ,           ,     , 
Data          ,             , 15 de março de 2026 12:21 (GMT)    , 15 de março de 2026 13:16 (GMT)    ,  55, "0,916666666667",           ,     , 
Data          ,             , 15 de março de 2026 13:45 (GMT)    , 15 de março de 2026 14:41 (GMT)    ,  56, "0,933333333333",           ,     , 
Data          ,             , 15 de março de 2026 16:39 (GMT)    , 15 de março de 2026 16:58 (GMT)    ,  19, "0,316666666667",           ,     , 
Data          ,             , 15 de março de 2026 18:20 (GMT)    , 15 de março de 2026 18:59 (GMT)    ,  39, "0,65"          ,           ,     , 
Data          ,             , 15 de março de 2026 20:11 (GMT)    , 15 de março de 2026 20:27 (GMT)    ,  16, "0,266666666667",           ,     , 
Data          ,             , 15 de março de 2026 21:57 (GMT)    , 15 de março de 2026 22:56 (GMT)    ,  59, "0,983333333333",           ,     , 
Review        ,             , 16 de março de 2026 9:09 (GMT)     , 16 de março de 2026 9:18 (GMT)     ,   9, "0,15"          ,           ,     , 
Data          ,             , 16 de março de 2026 9:27 (GMT)     , 16 de março de 2026 9:53 (GMT)     ,  26, "0,433333333333",           ,     , 
Data          ,             , 16 de março de 2026 9:53 (GMT)     , 16 de março de 2026 9:57 (GMT)     ,   4, "0,066666666667",           ,     , 
Data          ,             , 16 de março de 2026 10:00 (GMT)    , 16 de março de 2026 10:02 (GMT)    ,   2, "0,033333333333",           ,     , 
Data          ,             , 16 de março de 2026 10:30 (GMT)    , 16 de março de 2026 11:17 (GMT)    ,  47, "0,783333333333",           ,     , 
Review        ,             , 16 de março de 2026 12:42 (GMT)    , 16 de março de 2026 13:03 (GMT)    ,  21, "0,35"          ,           ,     , 
Infrastructure,           10, 16 de março de 2026 13:17 (GMT)    , 16 de março de 2026 13:46 (GMT)    ,  19, "0,316666666667",           ,     , 
Infrastructure,            5, 16 de março de 2026 13:48 (GMT)    , 16 de março de 2026 14:05 (GMT)    ,  12, "0,2"           ,           ,     , 
Infrastructure,             , 16 de março de 2026 14:41 (GMT)    , 16 de março de 2026 15:07 (GMT)    ,  26, "0,433333333333",           ,     , 
Data          ,             , 16 de março de 2026 17:12 (GMT)    , 16 de março de 2026 18:12 (GMT)    ,  60, 1               ,           ,     , 
Data          ,            5, 16 de março de 2026 18:31 (GMT)    , 16 de março de 2026 19:34 (GMT)    ,  58, "0,966666666667",           ,     , 
Data          ,             , 17 de março de 2026 9:15 (GMT)     , 17 de março de 2026 9:35 (GMT)     ,  20, "0,333333333333",           ,     , 
Review        ,             , 17 de março de 2026 10:41 (GMT)    , 17 de março de 2026 10:43 (GMT)    ,   2, "0,033333333333",           ,     , 
Review        ,             , 17 de março de 2026 10:46 (GMT)    , 17 de março de 2026 10:52 (GMT)    ,   6, "0,1"           ,           ,     , 
Data          ,             , 17 de março de 2026 10:52 (GMT)    , 17 de março de 2026 11:11 (GMT)    ,  19, "0,316666666667",           ,     , 
Data          ,           20, 17 de março de 2026 11:52 (GMT)    , 17 de março de 2026 12:36 (GMT)    ,  24, "0,4"           ,           ,     , 
Infrastructure,             , 17 de março de 2026 13:00 (GMT)    , 17 de março de 2026 13:05 (GMT)    ,   5, "0,083333333333",           ,     , 
Infrastructure,             , 17 de março de 2026 13:11 (GMT)    , 17 de março de 2026 14:30 (GMT)    ,  79, "1,316666666667",           ,     , 
Data          ,             , 17 de março de 2026 16:43 (GMT)    , 17 de março de 2026 16:50 (GMT)    ,   7, "0,116666666667",           ,     , 
Data          ,             , 17 de março de 2026 16:58 (GMT)    , 17 de março de 2026 18:20 (GMT)    ,  82, "1,366666666667",           ,     , 
Data          ,           20, 17 de março de 2026 20:24 (GMT)    , 17 de março de 2026 21:53 (GMT)    ,  69, "1,15"          ,           ,     , 
Data          ,             , 18 de março de 2026 11:00 (GMT)    , 18 de março de 2026 11:10 (GMT)    ,  10, "0,166666666667",           ,     , 
Review        ,            4, 18 de março de 2026 12:18 (GMT)    , 18 de março de 2026 12:32 (GMT)    ,  10, "0,166666666667",           ,     , 
Data          ,           20, 18 de março de 2026 13:56 (GMT)    , 18 de março de 2026 14:43 (GMT)    ,  27, "0,45"          ,           ,     , 
Data          ,             , 18 de março de 2026 14:47 (GMT)    , 18 de março de 2026 15:05 (GMT)    ,  18, "0,3"           ,           ,     , 
Data          ,             , 18 de março de 2026 16:13 (GMT)    , 18 de março de 2026 17:15 (GMT)    ,  62, "1,033333333333",           ,     , 
Data          ,             , 19 de março de 2026 10:22 (GMT)    , 19 de março de 2026 10:43 (GMT)    ,  21, "0,35"          ,           ,     , 
Review        ,             , 19 de março de 2026 16:53 (GMT)    , 19 de março de 2026 16:56 (GMT)    ,   3, "0,05"          ,           ,     , 
Data          ,             , 19 de março de 2026 17:23 (GMT)    , 19 de março de 2026 19:04 (GMT)    , 101, "1,683333333333",           ,     , 
Data          ,             , 20 de março de 2026 10:30 (GMT)    , 20 de março de 2026 11:10 (GMT)    ,  40, "0,666666666667",           ,     , 
Data          ,             , 20 de março de 2026 12:20 (GMT)    , 20 de março de 2026 12:33 (GMT)    ,  13, "0,216666666667",           ,     , 
Review        ,             , 20 de março de 2026 13:32 (GMT)    , 20 de março de 2026 13:34 (GMT)    ,   2, "0,033333333333",           ,     , 
Data          ,             , 20 de março de 2026 14:21 (GMT)    , 20 de março de 2026 15:07 (GMT)    ,  46, "0,766666666667",           ,     , 
Data          ,             , 20 de março de 2026 15:45 (GMT)    , 20 de março de 2026 16:20 (GMT)    ,  35, "0,583333333333",           ,     , 
Data          ,             , 20 de março de 2026 16:42 (GMT)    , 20 de março de 2026 17:40 (GMT)    ,  58, "0,966666666667",           ,     , 
Data          ,             , 21 de março de 2026 8:32 (GMT)     , 21 de março de 2026 9:35 (GMT)     ,  63, "1,05"          ,           ,     , 
Data          ,             , 21 de março de 2026 12:04 (GMT)    , 21 de março de 2026 12:14 (GMT)    ,  10, "0,166666666667",           ,     , 
Data          ,             , 21 de março de 2026 13:58 (GMT)    , 21 de março de 2026 14:25 (GMT)    ,  27, "0,45"          ,           ,     , 
Review        ,             , 22 de março de 2026 13:17 (GMT)    , 22 de março de 2026 13:21 (GMT)    ,   4, "0,066666666667",           ,     , 
Data          ,           15, 22 de março de 2026 13:46 (GMT)    , 22 de março de 2026 14:26 (GMT)    ,  25, "0,416666666667",           ,     , 
Review        ,             , 22 de março de 2026 22:49 (GMT)    , 22 de março de 2026 22:59 (GMT)    ,  10, "0,166666666667",           ,     , 
Review        ,             , 23 de março de 2026 8:46 (GMT)     , 23 de março de 2026 8:48 (GMT)     ,   2, "0,033333333333",           ,     , 
Data          ,             , 23 de março de 2026 13:11 (GMT)    , 23 de março de 2026 14:00 (GMT)    ,  49, "0,816666666667",           ,     , 
Review        ,             , 24 de março de 2026 9:20 (GMT)     , 24 de março de 2026 9:30 (GMT)     ,  10, "0,166666666667",           ,     , 
Data          ,             , 24 de março de 2026 13:44 (GMT)    , 24 de março de 2026 14:05 (GMT)    ,  21, "0,35"          ,           ,     , 
